,property_type,society,sector,price,persf_area,area,areaWithType,bedroom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
2583,flat,sare crescent parc royal greens phase 1,sector 92,0.75,4325.0,1734.1,Built Up area: 1734 (161.09 sq.m.),4.0,4.0,3+,3.0,East,Relatively New,,1734.0,,0.0,0.0,0.0,0.0,0.0,0.0,93.0,433.525
2584,flat,railway officers rpf society,sector 9a,1.3,5039.0,2579.88,Built Up area: 2580 (239.69 sq.m.),4.0,4.0,3+,9.0,East,Undefined,,2580.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.97
2585,flat,satya element one,sector 49,0.94,14009.0,671.0,Carpet area: 671 (62.34 sq.m.),1.0,2.0,2,2.0,East,Undefined,,,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0
2586,flat,shree vardhman flora,sector 90,0.7,5325.0,1314.55,Super Built up area 1352(125.6 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.),2.0,2.0,3,9.0,East,New Property,1352.0,1350.0,,1.0,0.0,0.0,0.0,0.0,0.0,60.0,657.275
2587,flat,ild grand centra,sector 37c,0.95,5220.0,1819.92,Built Up area: 1820 (169.08 sq.m.),3.0,1.0,,0.0,,Undefined,,1820.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.64
2588,flat,umang monsoon breeze,sector 78,0.7,5719.0,1223.99,Built Up area: 1224 (113.71 sq.m.),2.0,2.0,2,5.0,,Undefined,,1224.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.995
2589,flat,ansals highland park,dwarka expressway,1.2,6185.0,1940.18,Built Up area: 1940 (180.23 sq.m.),3.0,3.0,3+,4.0,,Under Construction,,1940.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,646.7266666666667
2590,flat,independent,sector 78,0.6,3692.0,1625.14,Built Up area: 1625 (150.97 sq.m.),2.0,2.0,,,,Under Construction,,1625.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.57
2591,flat,signature global city 81,sector 81,0.8,14652.0,546.0,Carpet area: 546 (50.73 sq.m.),2.0,2.0,2,4.0,North,Under Construction,,,546.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,273.0
2592,flat,godrej habitat,sector 3,1.2,8310.0,1444.04,Super Built up area 1444(134.15 sq.m.),2.0,2.0,3,0.0,,Under Construction,1444.0,,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,722.02
2593,flat,mvn athens,sohna road,0.25,5189.0,481.79,Carpet area: 481.73 (44.75 sq.m.),2.0,2.0,1,0.0,North,Relatively New,,,481.684525,0.0,0.0,0.0,1.0,0.0,0.0,90.0,240.895
2594,flat,shree vardhman flora,sector 90,0.95,6333.0,1500.08,Carpet area: 1500 (139.35 sq.m.),3.0,3.0,3,9.0,South-East,Relatively New,,,1500.0,0.0,1.0,0.0,0.0,0.0,0.0,90.0,500.02666666666664
2595,flat,ramsons kshitij,sector 95,0.45,4591.0,980.18,Super Built up area 980(91.04 sq.m.),2.0,2.0,1,2.0,,Relatively New,980.0,,,1.0,0.0,0.0,0.0,0.0,0.0,89.0,490.09
2596,flat,oriental valley chs,sector 9a,1.5,9090.0,1650.17,Carpet area: 1650 (153.29 sq.m.),4.0,3.0,3+,8.0,,Relatively New,,,1650.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,412.5425
2597,flat,breez global heights,sohna road,0.26,6598.0,394.06,Carpet area: 394 (36.6 sq.m.),1.0,1.0,1,6.0,,New Property,,,394.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,394.06
2598,flat,parsvnath green ville,sector 48,2.0,7765.0,2575.66,Super Built up area 2125(197.42 sq.m.),3.0,3.0,,15.0,,Relatively New,2125.0,,,0.0,1.0,0.0,0.0,0.0,0.0,74.0,858.5533333333333
2599,flat,shri ram apartments,sector 4,0.46,5111.0,900.02,Carpet area: 900 (83.61 sq.m.),2.0,2.0,1,1.0,East,Relatively New,,,900.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,450.01
2600,flat,sare homes,sector 92,0.8,4694.0,1704.3,Carpet area: 1704 (158.31 sq.m.),4.0,4.0,3,1.0,North-East,Moderately Old,,,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,426.075
2601,flat,silverglades the melia,sohna road,0.78,5777.0,1350.18,Super Built up area 1350(125.42 sq.m.),2.0,2.0,3,9.0,,Under Construction,1350.0,,,1.0,0.0,0.0,0.0,0.0,0.0,72.0,675.09
2602,flat,sare crescent parc royal greens phase 1,sector 92,0.65,4512.0,1440.6,Super Built up area 1440.45(133.82 sq.m.),3.0,3.0,3,1.0,East,Moderately Old,1440.45,,,0.0,0.0,0.0,0.0,0.0,0.0,91.0,480.2
2603,flat,smriti apartment,sector 56,0.52,10666.0,487.53,Super Built up area 525(48.77 sq.m.),1.0,1.0,1,1.0,,Old Property,525.0,,,0.0,0.0,0.0,0.0,0.0,0.0,34.0,487.53
2604,flat,pareena mi casa,sector 68,1.1,8835.0,1245.05,Super Built up area 1245(115.66 sq.m.),2.0,2.0,3,11.0,North,New Property,1245.0,,,0.0,0.0,0.0,0.0,0.0,0.0,95.0,622.525
2605,flat,godrej nature plus,sector 33,1.08,13126.0,822.79,Carpet area: 76.44,2.0,2.0,3,8.0,,Under Construction,,,76.44,0.0,0.0,0.0,0.0,0.0,0.0,56.0,411.395
2606,flat,ambience creacions,sector 22,3.99,12912.0,3090.15,Super Built up area 3090(287.07 sq.m.),3.0,5.0,3+,3.0,,New Property,3090.0,,,0.0,1.0,0.0,0.0,0.0,2.0,102.0,1030.05
2607,flat,ats tourmaline,sector 109,1.75,10000.0,1750.0,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.)Carpet area: 1460 sq.ft. (135.64 sq.m.),3.0,3.0,3,4.0,,New Property,1750.0,1466.0,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,583.3333333333334
